iter	Passed	Remaining
431	1652	2172
432	1657	2170
433	1662	2168
434	1668	2166
435	1673	2164
436	1676	2160
437	1682	2158
438	1686	2155
439	1691	2152
440	1692	2145
441	1697	2142
442	1698	2135
443	1702	2131
444	1706	2128
445	1710	2125
446	1715	2121
447	1718	2117
448	1723	2114
449	1726	2110
450	1731	2107
451	1733	2101
452	1738	2098
453	1742	2095
454	1746	2091
455	1749	2087
456	1754	2084
457	1758	2081
458	1763	2078
459	1768	2075
460	1773	2073
461	1778	2070
462	1782	2067
463	1787	2065
464	1793	2063
465	1798	2060
466	1802	2056
467	1804	2051
468	1808	2047
469	1812	2044
470	1814	2038
471	1815	2031
472	1819	2027
473	1823	2023
474	1827	2019
475	1831	2015
476	1835	2012
477	1839	2008
478	1842	2004
479	1846	2000
480	1850	1996
481	1854	1993
482	1858	1989
483	1860	1983
484	1865	1980
485	1868	1976
486	1872	1972
487	1876	1968
488	1877	1962
489	1881	1958
490	1885	1954
491	1889	1951
492	1893	1947
493	1897	1943
494	1902	1940
495	1906	1937
496	1912	1935
497	1915	1930
498	1919	1927
499	1923	1923
500	1929	1922
501	1930	1915
502	1936	1913
503	1940	1909
504	1944	1906
505	1949	1903
506	1954	1900
507	1958	1896
508	1961	1892
509	1965	1888
510	1966	1882
511	1968	1875
512	1971	1871
513	1974	1867
514	1978	1863
515	1982	1859
516	1985	1854
517	1987	1849
518	1990	1845
519	1995	1842
520	1997	1836
521	2001	1832
522	2005	1829
523	2010	1825
524	2011	1819
525	2015	1816
526	2018	1811
527	2022	1808
528	2026	1804
529	2030	1800
530	2034	1796
531	2038	1793
532	2041	1789
533	2046	1785
534	2050	1782
535	2054	1778
536	2058	1774
537	2061	1770
538	2065	1766
539	2069	1762
540	2073	1758
541	2074	1752
542	2078	1749
543	2082	1745
544	2085	1740
545	2089	1737
546	2092	1733
547	2096	1729
548	2100	1725
549	2104	1721
550	2105	1715
551	2109	1712
552	2114	1709
553	2117	1704
554	2118	1698
555	2122	1694
556	2124	1689
557	2128	1685
558	2129	1679
559	2133	1676
560	2139	1673
561	2143	1670
562	2147	1666
563	2151	1663
564	2155	1659
565	2159	1655
566	2164	1652
567	2168	1649
568	2172	1645
569	2176	1641
570	2179	1637
571	2180	1631
572	2184	1628
573	2188	1624
574	2192	1620
575	2197	1617
576	2201	1613
577	2204	1609
578	2208	1605
579	2212	1602
580	2216	1598
581	2219	1594
582	2223	1590
583	2227	1586
584	2231	1583
585	2235	1579
586	2240	1576
587	2244	1572
588	2247	1568
589	2251	1564
590	2255	1561
591	2259	1557
592	2262	1553
593	2266	1549
594	2270	1545
595	2271	1539
596	2275	1536
597	2280	1533
598	2284	1529
599	2288	1525
600	2289	1519
601	2291	1514
602	2295	1511
603	2299	1507
604	2301	1502
605	2303	1497
606	2306	1493
607	2310	1489
608	2314	1485
609	2318	1482
610	2320	1477
611	2324	1473
612	2328	1469
613	2332	1466
614	2336	1462
615	2340	1458
616	2343	1454
617	2347	1450
618	2351	1447
619	2354	1443
620	2358	1439
621	2359	1434
622	2364	1430
623	2365	1425
624	2369	1421
625	2372	1417
626	2376	1413
627	2380	1409
628	2383	1406
629	2387	1402
630	2391	1398
631	2395	1394
632	2399	1391
633	2403	1387
634	2407	1383
635	2411	1380
636	2414	1376
637	2419	1372
638	2423	1369
639	2427	1365
640	2431	1361
641	2435	1358
642	2437	1353
643	2441	1349
644	2445	1345
645	2449	1342
646	2451	1337
647	2455	1333
648	2460	1330
649	2464	1327
650	2468	1323
651	2472	1319
652	2476	1316
653	2481	1312
654	2485	1308
655	2489	1305
656	2494	1302
657	2498	1298
658	2502	1294
659	2506	1291
660	2510	1287
661	2515	1284
662	2519	1280
663	2523	1277
664	2528	1273
665	2533	1270
666	2535	1265
667	2540	1262
668	2545	1259
669	2549	1255
670	2553	1251
671	2557	1248
672	2558	1242
673	2561	1239
674	2566	1235
675	2570	1231
676	2574	1228
677	2576	1223
678	2581	1220
679	2585	1216
680	2589	1212
681	2593	1209
682	2597	1205
683	2601	1201
684	2606	1198
685	2610	1194
686	2613	1190
687	2617	1187
688	2621	1183
689	2626	1179
690	2630	1176
691	2631	1171
692	2635	1167
693	2639	1163
694	2643	1160
695	2647	1156
696	2649	1151
697	2653	1148
698	2658	1144
699	2661	1140
700	2665	1137
701	2669	1133
702	2670	1128
703	2674	1124
704	2678	1120
705	2682	1117
706	2685	1113
707	2689	1109
708	2693	1105
709	2696	1101
710	2700	1097
711	2704	1094
712	2708	1090
713	2709	1085
714	2713	1081
715	2716	1077
716	2720	1073
717	2723	1069
718	2727	1065
719	2731	1062
720	2734	1058
721	2736	1053
722	2740	1049
723	2742	1045
724	2744	1041
725	2748	1037
726	2753	1033
727	2756	1029
728	2761	1026
729	2761	1021
730	2765	1017
731	2769	1014
732	2772	1010
733	2777	1006
734	2780	1002
735	2784	998
736	2788	995
737	2792	991
738	2795	987
739	2800	983
740	2804	980
741	2807	976
742	2809	971
743	2813	968
744	2818	964
745	2822	961
746	2824	956
747	2828	952
748	2832	949
749	2835	945
750	2837	940
751	2841	937
752	2846	933
753	2850	929
754	2853	926
755	2857	922
756	2861	918
757	2865	914
758	2870	911
759	2874	907
760	2876	903
761	2880	899
762	2884	896
763	2889	892
764	2893	888
765	2898	885
766	2902	881
767	2907	878
768	2910	874
769	2914	870
770	2918	866
771	2923	863
772	2927	859
773	2931	855
774	2935	852
775	2939	848
776	2943	844
777	2947	841
778	2951	837
779	2955	833
780	2959	829
781	2963	826
782	2966	822
783	2971	818
784	2975	815
785	2980	811
786	2984	807
787	2989	804
788	2993	800
789	2997	796
790	3001	793
791	3005	789
792	3010	785
793	3014	782
794	3017	778
795	3021	774
796	3026	770
797	3028	766
798	3032	762
799	3036	759
800	3040	755
801	3045	751
802	3048	747
803	3052	744
804	3056	740
805	3061	736
806	3064	733
807	3068	729
808	3072	725
809	3075	721
810	3079	717
811	3082	713
812	3085	709
813	3089	706
814	3093	702
815	3097	698
816	3101	694
817	3105	691
818	3108	686
819	3112	683
820	3116	679
821	3120	675
822	3124	672
823	3128	668
824	3131	664
825	3135	660
826	3139	656
827	3142	652
828	3146	649
829	3150	645
830	3154	641
831	3157	637
832	3160	633
833	3163	629
834	3167	625
835	3171	622
836	3175	618
837	3178	614
838	3183	610
839	3187	607
840	3191	603
841	3195	599
842	3198	595
843	3203	592
844	3207	588
845	3211	584
846	3214	580
847	3218	576
848	3222	573
849	3226	569
850	3230	565
851	3234	561
852	3238	558
853	3242	554
854	3247	550
855	3248	546
856	3253	542
857	3258	539
858	3262	535
859	3267	531
860	3271	528
861	3275	524
862	3279	520
863	3284	517
864	3289	513
865	3292	509
866	3297	505
867	3302	502
868	3306	498
869	3310	494
870	3313	490
