网点ID,网点名称,经度,维度,城市,是否收费,网点类型,停车费,车位数,是否启用,管理人员ID,租金
253,告庄片区,100.8185464,22.01129181,西双版纳傣族自治州,0,0,0,0,0,0,0
256,景洪市区片区,100.79546,22.00516211,西双版纳傣族自治州,0,0,0,0,0,0,0
257,万达六期入口右侧停车位,100.7542533,22.02475281,西双版纳傣族自治州,0,2,0,0,1,0,0
258,大理双廊陌上云归度假酒店网点,100.1556196,25.95414611,大理白族自治州,0,2,0,0,0,0,0
260,景洪客运南站,100.799531,21.99478652,西双版纳傣族自治州,0,2,0,0,1,0,0
261,景洪汽车客运站,100.7951254,22.01816478,西双版纳傣族自治州,0,2,0,0,0,0,0
263,大理龙龛还车点,100.2047193,25.69597132,大理白族自治州,0,2,0,0,0,0,0
264,沙湾还车片区,100.7934528,22.00736015,西双版纳傣族自治州,0,2,0,0,0,0,0
265,景洪市政府还车片区,100.7963107,22.0162947,西双版纳傣族自治州,0,2,0,0,0,0,0
266,州医院还车片区,100.8013719,22.00867514,西双版纳傣族自治州,0,2,0,0,0,0,0
267,西双十二城还车片区,100.8071494,22.00511223,西双版纳傣族自治州,0,2,0,0,0,0,0
273,大理古城玉洱路,100.1615682,25.69941883,大理白族自治州,0,3,0,0,1,0,0
275,大理古城双鹤路,100.1701073,25.69188975,大理白族自治州,0,3,0,0,1,0,0
277,世纪金源住宅区还车片区,100.8127304,21.99329152,西双版纳傣族自治州,0,2,0,0,0,0,0
280,中和路,100.1614819,25.70490969,大理白族自治州,0,3,0,0,1,0,0
282,大理机场停车场(地面),100.3228566,25.65046171,大理白族自治州,1,2,0,0,1,313,0
300,丽江火车站（客运站）网点,100.2514959,26.81430068,丽江市,0,2,0,0,1,0,0
301,大理实力希尔顿停车场(地下),100.1807577,25.64705157,大理白族自治州,0,2,0,0,1,0,0
304,丽江三义机场网点,100.2468817,26.6712943,丽江市,0,2,0,0,1,0,0
306,大理马久邑??片区,100.1671259,25.73806507,大理白族自治州,0,2,0,0,0,0,0
308,丽江丽歌假日酒店网点,100.2280037,26.89209974,丽江市,0,2,0,0,1,0,0
310,丽江大研古城片区,100.2335291,26.87499571,丽江市,0,2,0,0,0,0,0
315,大理古城214国道,100.1557885,25.69536605,大理白族自治州,0,3,0,0,1,0,0
317,西双版纳市区片区,100.7989728,22.01514933,西双版纳傣族自治州,0,0,0,0,1,0,0
318,万达广场门前道路两侧,100.7646147,22.01555354,西双版纳傣族自治州,0,3,0,0,1,0,0
319,大润发门前道路两侧,100.805304,22.00709399,西双版纳傣族自治州,0,3,0,0,1,0,0
320,云投喜来登酒店网点,100.7538981,21.95372672,西双版纳傣族自治州,0,0,0,0,1,0,0
321,嘎洒机场网点,100.7641106,21.97634249,西双版纳傣族自治州,0,0,0,0,1,0,0
324,大理六十医院停车场(地面),100.1612725,25.70358457,大理白族自治州,0,3,0,0,1,0,0
325,大理古城东门牌坊停车场(地面),100.1713216,25.70341033,大理白族自治州,0,2,0,0,0,0,0
326,大理古城博爱门停车场,100.1612318,25.6899991,大理白族自治州,1,3,0,0,1,0,0
330,鑫盛时代禁止还车区,100.8014643,21.99563708,西双版纳傣族自治州,0,3,0,0,1,0,0
331,大理的小院子停车场(地面),100.1838219,25.64968549,大理白族自治州,0,2,0,0,1,0,0
337,大理古城房车露营停车场(地面),100.1848232,25.71848985,大理白族自治州,0,2,0,0,1,0,0
345,大理古城绿玉小区停车位(路侧),100.1613552,25.68531782,大理白族自治州,0,2,0,0,1,249,0
